well,md_ft,core_phi (v/v),core_k (mD),grain_den (g/cc)
Inglewood 12-A,3253.3,0.2354,28.6,2.656
Inglewood 12-A,3254.3,0.2089,15,2.658
Inglewood 12-A,3255.3,0.21,22,2.668
Inglewood 12-A,3256.3,0.1968,5.77,2.675
Inglewood 12-A,3257.3,0.233,6.71,2.651
Inglewood 12-A,3258.3,0.2049,1.69,2.672
Inglewood 12-A,3259.3,0.1589,0.338,2.661
Inglewood 12-A,3260.3,0.1782,0.274,2.686
Inglewood 12-A,3261.3,0.1673,0.289,2.674
Inglewood 12-A,3262.3,0.1821,0.891,2.672
Inglewood 12-A,3263.3,0.1767,0.642,2.663
Inglewood 12-A,3264.3,0.1937,1.16,2.675
Inglewood 12-A,3265.3,0.1561,1.49,2.689
Inglewood 12-A,3266.3,0.1631,0.618,2.672
Inglewood 12-A,3267.3,0.2133,1.2,2.672
Inglewood 12-A,3268.3,0.188,3.98,2.664
Inglewood 12-A,3269.3,0.2368,24.3,2.651
Inglewood 12-A,3270.3,0.2306,23.6,2.668
Inglewood 12-A,3271.3,0.2378,239,2.646
Inglewood 12-A,3272.3,0.256,197,2.652
Inglewood 12-A,3273.3,0.2642,41,2.652
Inglewood 12-A,3274.3,0.2296,52.5,2.662
Inglewood 12-A,3275.3,0.2595,134,2.665
Inglewood 12-A,3276.3,0.2344,25.1,2.655
Inglewood 12-A,3277.3,0.2531,51,2.658
Inglewood 12-A,3278.3,0.2454,88.6,2.652
Inglewood 12-A,3279.3,0.2503,37.1,2.65
Inglewood 12-A,3280.3,0.2409,37.2,2.658
Inglewood 12-A,3281.3,0.261,47.5,2.663
Inglewood 12-A,3282.3,0.2407,143,2.648
Inglewood 12-A,3283.3,0.2369,8.08,2.652
Inglewood 12-A,3284.3,0.2265,7.53,2.67
Inglewood 12-A,3285.3,0.2235,18.9,2.655
Inglewood 12-A,3286.3,0.2376,227,2.638
Inglewood 12-A,3287.3,0.218,29.4,2.677
Inglewood 12-A,3984.3,0.2035,2.15,2.675
Inglewood 12-A,3985.3,0.2016,5.82,2.67
Inglewood 12-A,3986.3,0.2147,20.2,2.678
Inglewood 12-A,3987.3,0.2227,16.4,2.663
Inglewood 12-A,3988.3,0.1995,10.8,2.655
Inglewood 12-A,3989.3,0.203,27.9,2.658
Inglewood 12-A,3990.3,0.1844,2.47,2.662
Inglewood 12-A,3991.3,0.2148,3.81,2.663
Inglewood 12-A,3992.3,0.1963,23.3,2.679
Inglewood 12-A,3993.3,0.2114,4.4,2.659
Inglewood 12-A,3994.3,0.202,1.65,2.655
Inglewood 12-A,3995.3,0.1631,1.72,2.683
Inglewood 12-A,3996.3,0.1571,0.339,2.68
Inglewood 12-A,3997.3,0.1426,0.391,2.679
Inglewood 12-A,3998.3,0.1804,0.923,2.674
Inglewood 12-A,3999.3,0.1952,2.59,2.683
Inglewood 12-A,4000.3,0.1659,0.69,2.672
Inglewood 12-A,4001.3,0.1603,1.43,2.677
Inglewood 12-A,4002.3,0.1542,0.866,2.682
Inglewood 12-A,4003.3,0.1492,0.658,2.691
Inglewood 12-A,4004.3,0.1667,0.318,2.67
Inglewood 12-A,4005.3,0.1747,0.918,2.68
Inglewood 12-A,4006.3,0.1724,1.02,2.682
Inglewood 12-A,4007.3,0.1478,0.183,2.667
Inglewood 12-A,4008.3,0.1673,0.548,2.677
Inglewood 12-A,4009.3,0.1757,3.29,2.67
Inglewood 12-A,4010.3,0.1395,0.0554,2.668
Inglewood 12-A,4011.3,0.1995,10.9,2.672
Inglewood 12-A,4012.3,0.1572,0.439,2.653
Inglewood 12-A,4013.3,0.1797,1.19,2.662
Inglewood 12-A,4014.3,0.1646,0.19,2.654
Inglewood 12-A,4015.3,0.157,1.09,2.678
Inglewood 12-A,4016.3,0.1626,0.454,2.654
Inglewood 12-A,4017.3,0.1707,1.82,2.661
Inglewood 12-A,4018.3,0.1593,0.379,2.65
Inglewood 12-A,4019.3,0.1672,1.34,2.675
Inglewood 12-A,4020.3,0.1501,0.498,2.681
Inglewood 12-A,4021.3,0.1643,0.968,2.669
Inglewood 12-A,4022.3,0.1725,0.132,2.688
Inglewood 12-A,4023.3,0.1705,0.215,2.674
Inglewood 12-A,4024.3,0.1342,0.0961,2.675
Inglewood 12-A,4025.3,0.179,3.56,2.672
Torrance 7,3686.3,0.2052,2.54,2.661
Torrance 7,3687.3,0.1575,0.57,2.663
Torrance 7,3688.3,0.1554,0.199,2.664
Torrance 7,3689.3,0.161,0.783,2.663
Torrance 7,3690.3,0.1681,0.537,2.659
Torrance 7,3691.3,0.2004,0.882,2.683
Torrance 7,3692.3,0.1631,0.395,2.669
Torrance 7,3693.3,0.1658,0.884,2.68
Torrance 7,3694.3,0.1628,0.378,2.689
Torrance 7,3695.3,0.1357,0.1,2.674
Torrance 7,3696.3,0.159,0.483,2.691
Torrance 7,3697.3,0.1691,0.142,2.646
Torrance 7,3698.3,0.1608,1.75,2.692
Torrance 7,3699.3,0.1544,0.116,2.673
Torrance 7,3700.3,0.1771,1.28,2.665
Torrance 7,3701.3,0.1587,0.543,2.683
Torrance 7,3702.3,0.1695,0.11,2.673
Torrance 7,3703.3,0.157,0.439,2.68
Torrance 7,3704.3,0.1642,1.06,2.682
Torrance 7,3705.3,0.1543,0.484,2.666
Torrance 7,3706.3,0.1834,4.95,2.665
Torrance 7,3707.3,0.144,0.163,2.667
Torrance 7,3708.3,0.1636,1.58,2.669
Torrance 7,3709.3,0.1717,0.189,2.694
Torrance 7,3710.3,0.168,1.4,2.685
Torrance 7,3711.3,0.1692,0.405,2.668
